Full Name, Brand, Category Name, Properties, MRP, Discount
Gillette Shave Foam Regular 50 g, Gillette, Shaving Foam, 50 g, 69, 0
Gillette Regular Shaving Foam 196 g, Gillette, Shaving Foam, 196 g, 165, 0
Gillette Sensitive Foam 418 g, Gillette, Shaving Foam, 418 g, 219, 0
Gillette Regular Foam 418 g, Gillette, Shaving Foam, 418 g, 219, 0
Gillette Lemon Lime Shaving Foam 196 g, Gillette, Shaving Foam, 196 g, 165, 0
Nivea For Men Extra Moisture Shaving Foam 200 ml, Nivea, Shaving Foam, 200 ml, 199, 0
Nivea Sensitive Active Comfort Shaving Foam 200 ml, Nivea, Shaving Foam, 200 ml, 199, 0
Dettol Shaving Foam Cool 150 g, Dettol, Shaving Foam, 150 g, 175, 0
Gillette Series Sensitive Skin Foam 245 g, Gillette, Shaving Foam, 245 g, 269, 0
Park Avenue Re Gen Shaving Gel 70 g, Park Avenue, Shaving Foam, 70 g, 65, 0
Gillette Series Foam Pure & Sensitive 245 ml, Gillette, Shaving Foam, 245 ml, 269, 0
Gillette Series Protection Shaving Foam 245 g, Gillette, Shaving Foam, 245 g, 329, 0
Aramusk Musk Shaving Foam 175 ml, Aramusk, Shaving Foam, 175 ml, 175, 0
Dettol Shaving Foam Original 150 g, Dettol, Shaving Foam, 150 g, 175, 0
Nivea Men Sensitive Cool Shaving Foam 200 ml, Nivea, Shaving Foam, 200 ml, 209, 0
Supermax Menthol Shave Foam 3 Triple Action Eucalyptus Calendula Menthol 300 ml, Supermax, Shaving Foam, 300 ml, 150, 0
